datetime,name,country,latitude,longitude,temp_c,wind_mph,humidity,precip_mm,condition
2024-04-18T11:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,32.1,9.4,59.0,0.0,Thundery outbreaks possible
2024-04-18T12:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,33.1,10.3,56.0,0.0,Sunny
2024-04-18T13:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,34.1,9.6,52.0,0.0,Thundery outbreaks possible
2024-04-18T14:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,35.1,9.8,48.0,0.0,Thundery outbreaks possible
2024-04-18T15:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,35.2,14.1,48.0,0.0,Sunny
2024-04-18T16:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,34.3,15.0,52.0,0.0,Sunny
2024-04-18T17:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,31.0,13.2,64.0,0.0,Thundery outbreaks possible
2024-04-18T18:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,29.6,12.8,71.0,0.0,Sunny
2024-04-18T19:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,28.0,12.1,78.0,0.0,Clear
2024-04-18T20:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,26.8,11.6,84.0,0.0,Clear
2024-04-18T21:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,26.3,15.0,87.0,0.0,Thundery outbreaks possible
2024-04-18T22:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,25.7,13.4,89.0,0.0,Thundery outbreaks possible
2024-04-18T23:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,25.8,10.7,89.0,0.03,Patchy rain possible
2024-04-19T00:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,25.3,9.2,88.0,0.01,Thundery outbreaks possible
2024-04-19T01:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,25.0,5.6,91.0,0.01,Patchy rain possible
2024-04-19T02:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,25.1,6.9,92.0,0.0,Thundery outbreaks possible
2024-04-19T03:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,24.7,5.6,94.0,0.02,Thundery outbreaks possible
2024-04-19T04:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,24.6,5.4,95.0,0.02,Mist
2024-04-19T05:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,24.5,5.1,95.0,0.02,Mist
2024-04-19T06:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,25.0,6.5,93.0,0.02,Thundery outbreaks possible
2024-04-19T07:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,25.7,8.3,89.0,0.02,Thundery outbreaks possible
2024-04-19T08:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,26.7,8.9,83.0,0.01,Thundery outbreaks possible
2024-10-07T15:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,32.6,6.3,41.0,0.0,Partly cloudy
2024-10-07T16:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,32.3,5.4,43.0,0.0,Partly cloudy
2024-10-07T17:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,30.9,3.1,51.0,0.0,Partly cloudy
2024-10-07T18:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,29.0,3.1,54.0,0.0,Partly cloudy
2024-10-07T19:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,28.4,3.1,56.0,0.0,Partly cloudy
2024-10-07T20:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,28.0,3.4,59.0,0.0,Partly cloudy
2024-10-07T21:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,27.4,4.0,63.0,0.0,Partly cloudy
2024-10-07T22:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,26.9,3.6,66.0,0.0,Partly cloudy
2024-10-07T23:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,26.6,3.4,68.0,0.0,Partly cloudy
2024-10-08T00:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,26.3,1.8,69.0,0.0,Partly cloudy
2024-10-08T01:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,26.3,2.0,69.0,0.0,Partly cloudy
2024-10-08T02:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,26.1,3.6,69.0,0.0,Partly cloudy
2024-10-08T03:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,25.9,4.3,70.0,0.0,Partly cloudy
2024-10-08T04:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,25.6,4.7,68.0,0.0,Partly cloudy
2024-10-08T05:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,25.1,5.6,66.0,0.0,Partly cloudy
2024-10-08T06:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,24.8,5.8,65.0,0.0,Partly cloudy
2024-10-08T07:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,25.2,6.0,65.0,0.0,Partly cloudy
2024-10-08T08:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,26.9,8.7,56.0,0.0,Partly cloudy
2024-10-08T09:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,28.3,9.4,50.0,0.0,Partly cloudy
2024-10-08T10:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,29.5,8.7,47.0,0.0,Partly cloudy
2024-10-08T11:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,30.6,7.8,45.0,0.0,Sunny
2024-10-08T12:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,31.4,6.5,43.0,0.0,Sunny
2024-10-08T13:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,32.0,5.4,42.0,0.0,Sunny
2024-10-08T14:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,32.4,4.3,41.0,0.0,Sunny
2024-10-08T15:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,32.4,3.8,41.0,0.0,Sunny
2024-01-25T00:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,10.2,5.8,62.0,0.0,Cloudy
2024-01-25T01:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,10.1,6.0,62.0,0.0,Overcast
2024-01-25T02:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,10.0,5.6,62.0,0.0,Overcast
2024-01-25T03:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,10.0,4.9,62.0,0.0,Overcast
2024-01-25T04:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,10.0,4.5,63.0,0.0,Overcast
2024-01-25T05:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,10.0,4.9,63.0,0.0,Overcast
2024-01-25T06:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,10.0,5.1,64.0,0.0,Overcast
2024-01-25T07:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,10.0,4.9,64.0,0.0,Overcast
2024-01-25T08:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,10.2,4.9,62.0,0.0,Overcast
2024-01-25T09:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,10.5,4.9,60.0,0.0,Overcast
2024-01-25T10:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,10.9,5.1,59.0,0.0,Overcast
2024-01-25T11:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,11.2,5.6,58.0,0.0,Overcast
2024-01-25T12:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,11.6,5.8,57.0,0.0,Overcast
2024-01-25T13:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,12.0,5.6,57.0,0.0,Overcast
2024-01-25T14:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,12.3,5.4,56.0,0.0,Overcast
2024-01-25T15:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,12.7,5.4,55.0,0.0,Overcast
2024-01-25T16:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,12.9,5.4,55.0,0.0,Overcast
2024-01-25T17:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,12.7,5.1,56.0,0.0,Overcast
2024-01-25T18:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,12.5,5.6,59.0,0.0,Overcast
2024-01-25T19:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,12.4,5.1,60.0,0.0,Overcast
2024-01-25T20:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,12.3,5.4,60.0,0.0,Overcast
2024-01-25T21:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,12.2,4.9,61.0,0.0,Overcast
2024-01-25T22:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,12.1,4.7,62.0,0.0,Overcast
2024-01-25T23:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,11.9,4.7,62.0,0.0,Overcast
2024-01-26T00:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,11.1,4.7,64.0,0.0,Overcast
2024-01-26T01:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,11.0,4.5,64.0,0.0,Overcast
2024-01-26T02:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,11.0,4.3,64.0,0.0,Overcast
2024-01-26T03:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,10.9,4.9,65.0,0.0,Overcast
2024-01-26T04:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,10.9,4.9,66.0,0.0,Overcast
2024-01-26T05:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,10.8,4.3,66.0,0.0,Overcast
2024-01-26T06:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,10.9,4.0,67.0,0.0,Overcast
2024-01-26T07:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,11.0,3.8,67.0,0.0,Overcast
2024-01-26T08:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,11.2,3.8,66.0,0.0,Overcast
2024-01-26T09:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,11.4,3.8,65.0,0.0,Overcast
2024-01-26T10:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,11.6,3.8,64.0,0.0,Overcast
2024-01-26T11:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,11.9,4.0,63.0,0.0,Overcast
2024-01-26T12:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,12.3,3.6,62.0,0.0,Overcast
2024-01-26T13:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,12.5,4.3,62.0,0.0,Overcast
2024-05-27T22:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,27.5,3.4,86.0,0.0,Overcast
2024-05-27T23:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,27.3,1.8,86.0,0.0,Overcast
2024-05-28T00:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,29.0,1.1,78.0,0.0,Overcast
2024-05-28T01:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,28.9,1.1,78.0,0.0,Cloudy
2024-05-28T02:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,28.7,1.8,79.0,0.0,Overcast
2024-05-28T03:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,28.5,1.8,80.0,0.0,Cloudy
2024-05-28T04:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,28.4,2.0,80.0,0.0,Cloudy
2024-05-28T05:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,28.3,2.5,80.0,0.0,Cloudy
2024-05-28T06:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,28.3,1.3,80.0,0.0,Partly cloudy
2024-05-28T07:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,28.6,1.6,79.0,0.0,Partly cloudy
2024-05-28T08:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,28.8,1.6,79.0,0.0,Cloudy
2024-05-28T09:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,29.0,2.5,77.0,0.0,Partly cloudy
2024-05-28T10:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,29.8,4.5,73.0,0.0,Partly cloudy
2024-05-28T11:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,30.6,4.5,68.0,0.0,Partly cloudy
2024-05-28T12:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,30.4,4.0,69.0,0.0,Cloudy
2024-05-28T13:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,29.8,3.1,72.0,0.0,Partly cloudy
2024-05-28T14:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,30.0,1.8,70.0,0.0,Cloudy
2024-05-28T15:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,30.3,2.5,68.0,0.0,Overcast
2024-05-28T16:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,30.0,3.6,71.0,0.0,Cloudy
2024-05-28T17:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,29.3,3.1,74.0,0.0,Cloudy
