datetime,name,country,latitude,longitude,temp_c,wind_mph,humidity,precip_mm,condition
2024-10-18T05:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,25.0,3.1,89.0,0.0,Partly cloudy
2024-10-18T06:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,24.9,3.4,90.0,0.0,Partly cloudy
2024-10-18T07:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,25.9,3.4,85.0,0.0,Partly cloudy
2024-10-18T08:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,27.5,4.3,77.0,0.2,Light rain shower
2024-10-18T09:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,29.2,4.9,69.0,0.06,Patchy rain possible
2024-10-18T10:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,30.7,5.1,62.0,0.29,Light rain shower
2024-10-18T11:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,31.7,5.4,57.0,0.27,Patchy light drizzle
2024-10-18T12:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,32.4,6.0,54.0,0.41,Light rain shower
2024-10-18T13:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,31.8,8.1,56.0,0.16,Light rain shower
2024-10-18T14:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,31.5,7.8,58.0,0.15,Light rain shower
2024-10-18T15:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,31.4,7.4,58.0,0.63,Light rain shower
2024-10-18T16:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,30.7,7.6,62.0,0.3,Light rain shower
2024-10-18T17:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,29.9,8.3,66.0,0.26,Patchy rain possible
2024-10-18T18:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,28.6,8.9,71.0,0.01,Patchy rain possible
2024-10-18T19:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,27.7,9.4,75.0,0.03,Patchy rain possible
2024-10-18T20:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,27.1,8.7,78.0,0.0,Partly cloudy
2024-10-18T21:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,26.6,8.1,81.0,0.0,Partly cloudy
2024-10-18T22:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,26.3,7.2,83.0,0.0,Clear
2024-10-18T23:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,26.0,6.0,84.0,0.0,Cloudy
2024-10-19T00:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,25.4,5.4,88.0,2.59,Moderate or heavy rain shower
2024-10-19T01:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,25.2,4.3,89.0,2.19,Patchy rain possible
2024-10-19T02:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,25.1,3.8,89.0,1.08,Light rain shower
2024-10-19T03:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,25.1,3.4,89.0,0.06,Patchy rain possible
2024-10-19T04:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,25.1,3.1,89.0,0.01,Patchy rain possible
2024-10-19T05:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,25.0,2.7,90.0,0.0,Partly cloudy
2024-10-19T06:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,24.8,1.6,90.0,0.0,Partly cloudy
2024-10-19T07:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,25.8,1.6,85.0,0.89,Patchy rain possible
2024-10-19T08:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,27.3,3.4,77.0,1.72,Patchy rain possible
2024-10-19T09:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,28.8,3.6,69.0,0.86,Light rain shower
2024-10-19T10:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,30.4,3.1,61.0,0.0,Partly cloudy
2024-10-19T11:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,31.6,3.1,56.0,0.01,Patchy rain possible
2024-10-19T12:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,32.4,3.8,53.0,0.02,Patchy rain possible
2024-10-19T13:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,32.3,5.4,53.0,0.05,Patchy rain possible
2024-10-19T14:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,31.5,8.1,57.0,0.6,Light rain shower
2024-10-19T15:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,30.2,9.2,64.0,2.36,Light rain
2024-10-19T16:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,29.0,8.5,70.0,0.7,Light rain shower
2024-10-19T17:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,28.0,8.3,75.0,0.13,Patchy rain possible
2024-10-19T18:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,27.2,6.9,79.0,0.04,Patchy rain possible
2024-10-19T19:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,26.9,6.7,80.0,0.09,Patchy rain possible
2024-10-19T20:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,26.7,6.5,82.0,0.03,Patchy rain possible
2024-10-19T21:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,26.3,5.6,85.0,1.0,Patchy light rain
2024-10-19T22:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,26.0,5.1,87.0,0.62,Patchy rain possible
2024-10-19T23:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,25.7,5.1,87.0,1.95,Light rain shower
2024-10-20T00:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,25.9,4.9,88.0,0.95,Light rain shower
2024-10-20T01:00:00.000+07:00,Hanoi,Vietnam,21.0333,105.85,25.4,4.3,89.0,0.19,Light rain shower
